,,Precision,Recall,AUC,Accuracy,Fmeasure,Gmean
termoproject.csv,GMean_RF,0.807692308,0.807692308,0.892572944,0.818181818,0.807692308,0.807692308
termoproject.csv,Accuracy_Ada,0.8,0.769230769,0.823607427,0.8,0.784313725,0.784464541
termoproject.csv,FMeasure_Ada,0.72,0.692307692,0.802387268,0.727272727,0.705882353,0.706018086
termoproject.csv,GMean_Ada,0.703703704,0.730769231,0.777188329,0.727272727,0.716981132,0.717108788
tomcat.csv,Accuracy_Voting,0.425531915,0.25974026,0.764545953,0.902097902,0.322580645,0.33245717
tomcat.csv,FMeasure_Voting,0.32,0.207792208,0.776975905,0.889277389,0.251968504,0.257863348
tomcat.csv,GMean_Voting,0.32,0.207792208,0.773882967,0.889277389,0.251968504,0.257863348
tomcat.csv,Accuracy_RF,0.4,0.12987013,0.752506776,0.904428904,0.196078431,0.227921153
tomcat.csv,FMeasure_RF,0.384615385,0.12987013,0.729791975,0.903263403,0.194174757,0.223495078
tomcat.csv,GMean_RF,0.1875,0.077922078,0.717993914,0.886946387,0.110091743,0.120873445
tomcat.csv,Accuracy_Ada,0.230769231,0.116883117,0.720005986,0.885780886,0.155172414,0.16423467
tomcat.csv,FMeasure_Ada,0.217391304,0.12987013,0.694439363,0.87995338,0.162601626,0.168025703
tomcat.csv,GMean_Ada,0.195652174,0.116883117,0.708615328,0.877622378,0.146341463,0.151223133
velocity-1.6.csv,Accuracy_Voting,0.586956522,0.346153846,0.698760401,0.694323144,0.435483871,0.45075188
velocity-1.6.csv,FMeasure_Voting,0.6,0.269230769,0.759721515,0.689956332,0.371681416,0.401918476
velocity-1.6.csv,GMean_Voting,0.558823529,0.243589744,0.754160299,0.676855895,0.339285714,0.368949428
velocity-1.6.csv,Accuracy_RF,0.633333333,0.487179487,0.730981491,0.729257642,0.550724638,0.555470079
velocity-1.6.csv,FMeasure_RF,0.526315789,0.384615385,0.723255222,0.672489083,0.444444444,0.449921271
velocity-1.6.csv,GMean_RF,0.676923077,0.564102564,0.775641026,0.759825328,0.615384615,0.617943398
velocity-1.6.csv,Accuracy_Ada,0.535714286,0.384615385,0.639794532,0.676855895,0.447761194,0.45392065
velocity-1.6.csv,FMeasure_Ada,0.540540541,0.512820513,0.71192053,0.68558952,0.526315789,0.526498126
velocity-1.6.csv,GMean_Ada,0.585714286,0.525641026,0.742528443,0.711790393,0.554054054,0.554865261
workflow.csv,Accuracy_Voting,0.5625,0.45,0.610526316,0.538461538,0.5,0.503115295
workflow.csv,FMeasure_Voting,0.666666667,0.4,0.75,0.58974359,0.5,0.516397779
workflow.csv,GMean_Voting,0.625,0.5,0.663157895,0.58974359,0.555555556,0.559016994
workflow.csv,Accuracy_RF,0.684210526,0.65,0.675,0.666666667,0.666666667,0.666885929
workflow.csv,FMeasure_RF,0.6,0.6,0.682894737,0.58974359,0.6,0.6
workflow.csv,GMean_RF,0.7,0.7,0.736842105,0.692307692,0.7,0.7
workflow.csv,Accuracy_Ada,0.65,0.65,0.623684211,0.641025641,0.65,0.65
workflow.csv,FMeasure_Ada,0.75,0.75,0.813157895,0.743589744,0.75,0.75
workflow.csv,GMean_Ada,0.65,0.65,0.652631579,0.641025641,0.65,0.65
wspomaganiepi.csv,Accuracy_Voting,0.923076923,1,0.951388889,0.958333333,0.96,0.960768923
wspomaganiepi.csv,FMeasure_Voting,0.857142857,1,0.881944444,0.916666667,0.923076923,0.9258201
wspomaganiepi.csv,GMean_Voting,0.916666667,0.916666667,0.923611111,0.916666667,0.916666667,0.916666667
wspomaganiepi.csv,Accuracy_RF,0.909090909,0.833333333,0.920138889,0.875,0.869565217,0.87038828
wspomaganiepi.csv,FMeasure_RF,0.9,0.75,0.920138889,0.833333333,0.818181818,0.821583836
wspomaganiepi.csv,GMean_RF,0.909090909,0.833333333,0.916666667,0.875,0.869565217,0.87038828
wspomaganiepi.csv,Accuracy_Ada,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667
wspomaganiepi.csv,FMeasure_Ada,0.833333333,0.833333333,0.902777778,0.833333333,0.833333333,0.833333333
wspomaganiepi.csv,GMean_Ada,0.909090909,0.833333333,0.916666667,0.875,0.869565217,0.87038828
xalan-2.7.csv,Accuracy_Voting,0.992222222,0.994432071,0.964264021,0.986956522,0.993325918,0.993326532
xalan-2.7.csv,FMeasure_Voting,0.991091314,0.991091314,0.958594857,0.982608696,0.991091314,0.991091314
xalan-2.7.csv,GMean_Voting,0.993318486,0.993318486,0.978538166,0.986956522,0.993318486,0.993318486
xalan-2.7.csv,Accuracy_RF,0.992265193,1,0.880365459,0.992391304,0.996117582,0.996125089
xalan-2.7.csv,FMeasure_RF,0.990066225,0.998886414,0.922023689,0.989130435,0.994456763,0.994466541
xalan-2.7.csv,GMean_RF,0.992265193,1,0.902232233,0.992391304,0.996117582,0.996125089
xalan-2.7.csv,Accuracy_Ada,0.992256637,0.998886414,0.948952217,0.991304348,0.995560488,0.995566007
xalan-2.7.csv,FMeasure_Ada,0.991101224,0.9922049,0.972615914,0.983695652,0.991652755,0.991652908
xalan-2.7.csv,GMean_Ada,0.992239468,0.996659243,0.931387933,0.989130435,0.994444444,0.9944469
xerces-1.4.csv,Accuracy_Voting,0.954326923,0.908466819,0.939397154,0.899659864,0.930832356,0.931114571
xerces-1.4.csv,FMeasure_Voting,0.943262411,0.913043478,0.93687393,0.894557823,0.927906977,0.928029953
xerces-1.4.csv,GMean_Voting,0.947743468,0.913043478,0.937965054,0.897959184,0.93006993,0.930231688
xerces-1.4.csv,Accuracy_RF,0.939325843,0.956521739,0.944473912,0.921768707,0.947845805,0.947884797
xerces-1.4.csv,FMeasure_RF,0.939597315,0.961098398,0.950156849,0.925170068,0.950226244,0.950287049
xerces-1.4.csv,GMean_RF,0.941834452,0.963386728,0.954597118,0.928571429,0.952488688,0.952549637
xerces-1.4.csv,Accuracy_Ada,0.939325843,0.956521739,0.943360056,0.921768707,0.947845805,0.947884797
xerces-1.4.csv,FMeasure_Ada,0.93064877,0.95194508,0.940442814,0.911564626,0.941176471,0.941236696
xerces-1.4.csv,GMean_Ada,0.928888889,0.956521739,0.942397745,0.913265306,0.942502818,0.942604061
zuzel.csv,Accuracy_Voting,0.769230769,0.769230769,0.850961538,0.793103448,0.769230769,0.769230769
zuzel.csv,FMeasure_Voting,0.833333333,0.769230769,0.831730769,0.827586207,0.8,0.800640769
zuzel.csv,GMean_Voting,0.769230769,0.769230769,0.841346154,0.793103448,0.769230769,0.769230769
zuzel.csv,Accuracy_RF,0.769230769,0.769230769,0.853365385,0.793103448,0.769230769,0.769230769
zuzel.csv,FMeasure_RF,0.833333333,0.769230769,0.805288462,0.827586207,0.8,0.800640769
zuzel.csv,GMean_RF,0.666666667,0.769230769,0.802884615,0.724137931,0.714285714,0.716114874
zuzel.csv,Accuracy_Ada,0.769230769,0.769230769,0.793269231,0.793103448,0.769230769,0.769230769
zuzel.csv,FMeasure_Ada,0.666666667,0.769230769,0.701923077,0.724137931,0.714285714,0.716114874
zuzel.csv,GMean_Ada,0.625,0.769230769,0.701923077,0.689655172,0.689655172,0.693375245
